"s0","n0","nparts","nunique","max_draws","log_nparts","log_nunique"
55,13360,"34221843740239941610911541917778162394505605150510851917343726920330155373319999",10000,10000,183.134501399573,9.21034037197618
91,13360,"208690535675937861429612537923066721780794238242066863735777428134537389369731188850718539666048153",10000,10000,226.389021391542,9.21034037197618
149,13360,"19931991420435245256208305300215083853164468002424732431073126866865449054221462628385695701653728857255322062713",10000,10000,258.579271372316,9.21034037197618
2,22027,"11013",6537,10000,9.30683167216494,8.78523362361273
3,22027,"40432394",9998,10000,17.5151418533193,9.21014035197352
5,22027,"81776034764305",10000,10000,32.0350053430706,9.21034037197618
8,22027,"12419837753987741600396",10000,10000,50.873581966009,9.21034037197618
13,22027,"4451708035923327245230388365540025",10000,10000,77.4785959196358,9.21034037197618
21,22027,"6335434215208560309748993722282720056963261636457",10000,10000,112.370242817397,9.21034037197618
34,22027,"119833185866224936342780113245647715235089935126925541190070127851724",10000,10000,156.756716795498,9.21034037197618
55,22027,"6252312279634078017049585117872160752348308036320815863467631219354030182856442634464170859",10000,10000,209.065609729534,9.21034037197618
91,22027,"79254661895161645763690523849748209612303872164473502930713503329588848632880899066928464891272180508312416364281547",10000,10000,266.867366837524,9.21034037197618
149,22027,"230150499596153851522920758170536478105335825597814800155367965964507225174338792085473284440514702321390763359026849849468046697729930887",10000,10000,316.287720995199,9.21034037197618
2,36316,"18158",7661,10000,9.8068665139317,8.94389780251682
3,36316,"109904321",10000,10000,18.5151207361624,9.21034037197618
5,36316,"604114300520427",10000,10000,34.0347845352321,9.21034037197618
8,36316,"410744609772041688151165",10000,10000,54.3722585868141,9.21034037197618
13,36316,"1783278445763500338026768950134561409",10000,10000,83.4715168414752,9.21034037197618
21,36316,"134910935743102754695598033947587581626823460463256680",10000,10000,122.336454568177,9.21034037197618
34,36316,"1505915171266720472597149023750490778992683739522107698648736482849112061779",10000,10000,173.103282775165,9.21034037197618
55,36316,"1711523015017559909634423591483278841354631426753774395543928920419628702710046857568482571561339893249",10000,10000,235.401063111569,9.21034037197618
91,36316,"150698066246673230446160912227928642432680546411081024522995601992669746079070127077491000232697023757912624508861631301098426167507669",10000,10000,308.956510548957,9.21034037197618
149,36316,"419304286865437416368993123675742631765482472930445952146915466172976183120247657782188034523725729924224423144895141743656346213647823464224858604437498627258050833",10000,10000,379.057381943022,9.21034037197618
21,28,"15",15,10000,2.70805020110221,2.70805020110221
34,41,"15",15,10000,2.70805020110221,2.70805020110221
55,62,"15",15,10000,2.70805020110221,2.70805020110221
91,98,"15",15,10000,2.70805020110221,2.70805020110221
149,156,"15",15,10000,2.70805020110221,2.70805020110221
245,252,"15",15,10000,2.70805020110221,2.70805020110221
404,411,"15",15,10000,2.70805020110221,2.70805020110221
666,673,"15",15,10000,2.70805020110221,2.70805020110221
