"s0","n0","nparts","nunique","max_draws","log_nparts","log_nunique"
91,40135,"786952445022023854322447150070157820745090120431616426213908560648324162929887288823563652326137758092058414735468538431563750564579764039",5000,5000,317.517155375149,8.51719319141624
149,40135,"194422151021386723272832240707999981009073137124106620359404363204092230026712273629129610869950063148187527812864159493733996768485776382563313181920019097767936508334373",5000,5000,392.104327454118,8.51719319141624
91,121,"5604",3246,5000,8.6312359074569,8.08517874807454
149,179,"5604",3281,5000,8.6312359074569,8.0959035329611
245,275,"5604",3326,5000,8.6312359074569,8.10952565975287
404,434,"5604",3268,5000,8.6312359074569,8.09193345597989
666,696,"5604",3277,5000,8.6312359074569,8.09468364869882
2,3,"1",1,5000,0,0
3,3,"1",1,5000,0,0
4,4,"1",1,5000,0,0
4,5,"1",1,5000,0,0
2,7,"3",3,5000,1.09861228866811,1.09861228866811
3,7,"4",4,5000,1.38629436111989,1.38629436111989
4,7,"3",3,5000,1.09861228866811,1.09861228866811
5,7,"2",2,5000,0.693147180559945,0.693147180559945
6,7,"1",1,5000,0,0
4,9,"6",6,5000,1.79175946922805,1.79175946922805
6,9,"3",3,5000,1.09861228866811,1.09861228866811
2,11,"5",5,5000,1.6094379124341,1.6094379124341
3,11,"10",10,5000,2.30258509299405,2.30258509299405
4,11,"11",11,5000,2.39789527279837,2.39789527279837
5,11,"10",10,5000,2.30258509299405,2.30258509299405
6,11,"7",7,5000,1.94591014905531,1.94591014905531
8,11,"3",3,5000,1.09861228866811,1.09861228866811
10,11,"1",1,5000,0,0
4,14,"23",23,5000,3.13549421592915,3.13549421592915
6,14,"20",20,5000,2.99573227355399,2.99573227355399
10,14,"5",5,5000,1.6094379124341,1.6094379124341
2,18,"9",9,5000,2.19722457733622,2.19722457733622
3,18,"27",27,5000,3.29583686600433,3.29583686600433
4,18,"47",47,5000,3.85014760171006,3.85014760171006
5,18,"57",57,5000,4.04305126783455,4.04305126783455
6,18,"58",58,5000,4.06044301054642,4.06044301054642
8,18,"40",40,5000,3.68887945411394,3.68887945411394
10,18,"22",22,5000,3.09104245335832,3.09104245335832
13,18,"7",7,5000,1.94591014905531,1.94591014905531
16,18,"2",2,5000,0.693147180559945,0.693147180559945
4,23,"94",94,5000,4.54329478227,4.54329478227
6,23,"163",163,5000,5.09375020080676,5.09375020080676
10,23,"97",97,5000,4.57471097850338,4.57471097850338
16,23,"15",15,5000,2.70805020110221,2.70805020110221
2,29,"14",14,5000,2.63905732961526,2.63905732961526
3,29,"70",70,5000,4.24849524204936,4.24849524204936
4,29,"185",185,5000,5.22035582507832,5.22035582507832
5,29,"333",333,5000,5.80814248998044,5.80814248998044
6,29,"454",454,5000,6.11809719804135,6.11809719804135
8,29,"525",525,5000,6.26339826259162,6.26339826259162
10,29,"423",423,5000,6.04737217904628,6.04737217904628
13,29,"227",227,5000,5.4249500174814,5.4249500174814
16,29,"101",101,5000,4.61512051684126,4.61512051684126
21,29,"22",22,5000,3.09104245335832,3.09104245335832
26,29,"3",3,5000,1.09861228866811,1.09861228866811
4,37,"378",378,5000,5.93489419561959,5.93489419561959
6,37,"1360",1325,5000,7.2152399787301,7.18916773842032
10,37,"2112",1908,5000,7.65539064482615,7.55381085200823
16,37,"780",776,5000,6.65929391968364,6.65415252018322
26,37,"56",56,5000,4.02535169073515,4.02535169073515
2,47,"23",23,5000,3.13549421592915,3.13549421592915
3,47,"184",184,5000,5.21493575760899,5.21493575760899
4,47,"764",763,5000,6.63856778916652,6.63725803128446
5,47,"2062",1878,5000,7.63143166457691,7.53796265976821
6,47,"4070",2864,5000,8.31139827843664,7.95997452808054
8,47,"8588",3802,5000,9.05812115899867,8.24328252304838
10,47,"10936",3991,5000,9.29981537840379,8.29179710504873
13,47,"9624",3875,5000,9.17201525765451,8.26230094178745
16,47,"6334",3418,5000,8.75368722709858,8.13681086367554
21,47,"2424",2124,5000,7.7931743471892,7.66105638236183
26,47,"792",791,5000,6.67456139181443,6.67329796776765
34,47,"101",101,5000,4.61512051684126,4.61512051684126
4,61,"1650",1578,5000,7.40853056689463,7.36391350140582
6,61,"13702",4208,5000,9.52529708656284,8.34474275441755
10,61,"70760",4842,5000,11.1670491482737,8.485083137498
16,61,"70927",4834,5000,11.169406458081,8.48342956126343
26,61,"14816",4243,5000,9.60346295688596,8.35302584520232
