"community_name","s0","n0","nparts","ncomparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div","lognparts"
"34_37",34,37,3,3,0.55393827857596,0.506839032274253,0.561996779388084,0.036036036036036,0.0213254379651497,1.09861228866811
"34_40135",34,40135,3.99063855241069e+76,4996,0.853767596052733,0.831443751584584,0.914496173296098,0.0982467598596131,0.0354022783800678,176.380418323843
"34_4231",34,4231,1.30818865765965e+45,5000,0.854600284512912,0.84397969038543,0.912951788339531,0.101510470337982,0.0376469938847979,103.884972661051
"34_446",34,446,1313586270178302720,4995,0.777078628939965,0.779640150149441,0.882631818141726,0.136201672524542,0.0669172768939407,41.7192926814975
"34_47",34,47,101,3185,0.415391014273773,0.649507918414244,0.731495234296091,0.0860816994555596,0.0575552340083134,4.61512051684126
"34_5432",34,5432,3.27817292274236e+48,4999,0.850193096037212,0.845613663259975,0.910707428102616,0.101505941836379,0.0375569527360313,111.711370695159
"34_573",34,573,4.3792193363281e+20,5000,0.795253500621454,0.79887430304451,0.888921983101972,0.128342757417103,0.0596339436354684,47.5285723346687
"34_61",34,61,3010,4997,0.485491058633431,0.677726956763417,0.772472926221371,0.126331536626894,0.0840737841039655,8.00969535774292
"34_6975",34,6975,9.00655993922221e+51,5000,0.851322435862864,0.84436150119245,0.912613279217074,0.100144487455197,0.0367715450722989,119.629792936663
"34_736",34,736,2.05995487096624e+23,4998,0.797363021197637,0.805461591588429,0.890696272502399,0.124548188840754,0.056379319748433,53.6821412141266
"34_78",34,78,75078,5000,0.568173794431647,0.696900652526748,0.799826973743125,0.147889743589744,0.0960889674209807,11.2262828520931
"34_8956",34,8956,2.65103341723437e+55,5000,0.856986163438202,0.841472218340363,0.914072507917224,0.0984435238945958,0.0355270863962893,127.61712964742
"34_944",34,944,1.28887351087603e+26,5000,0.815880383751758,0.812652634789054,0.899757690763696,0.118127966101695,0.0510836821550959,60.1209810073332
"4_100",4,100,7153,4997,-0.502063638248034,-2.26557835341241,0.811148617978403,0.186167700620372,0.137185885269585,8.87528712810838
"4_11",4,11,11,55,-0.930876885167493,-0.598725740712738,0.673707609436131,0.181818181818182,0.111340273154911,2.39789527279837
"4_11499",4,11499,10561630986,5000,-0.0195163312593359,-1.68436123888165,0.824126100698695,0.181582589790417,0.141380016874208,23.0804935527303
"4_1212",4,1212,12394215,5000,-0.819930196690983,-4.68952951025368,0.820394234609043,0.183447359735974,0.142357348519117,16.3327403894572
"4_128",4,128,14905,5000,-0.370368923530274,-1.93844285936845,0.814412965224805,0.1810328125,0.132622284812136,9.60945200611217
"4_14",4,14,23,253,-0.933346100585451,-1.24413046787152,0.711090571826177,0.185770750988142,0.120077053523561,3.13549421592915
"4_14765",4,14765,22357646041,4998,-0.139221802932433,-2.06507042289921,0.822782323968825,0.184138674094765,0.143346361139373,23.8304342042442
"4_1557",4,1557,26262600,4999,0.0144706051885733,-1.49399923901292,0.817903973642952,0.183155706285766,0.141751479601972,17.0836564318388
"4_165",4,165,31752,5000,-0.436757642676602,-1.90433019392891,0.816983774888673,0.182407272727273,0.136208202143222,10.3657109944629
"4_18",4,18,47,1075,-0.5751072415106,-1.04719144449287,0.745350218086976,0.186356589147287,0.124529313471896,3.85014760171006
"4_18959",4,18959,47331742420,5000,-0.19313691606264,-2.45032123502941,0.817750819085542,0.185879360725777,0.148567533397481,24.5804469944696
"4_1999",4,1999,55555389,5000,-0.163097013559745,-2.1333370091282,0.827002078617542,0.179101150575288,0.138737103443416,17.8328910810458
"4_211",4,211,66150,4998,-0.365851994914492,-2.45967518813664,0.819530045457408,0.182924354575954,0.138287139252347,11.0996801695431
